,loss,accuracy
0,0.8481071480682918,0.34285714285714286
1,2.5992004669225675,0.6571428571428571
2,1.7678435639079129,0.6571428571428571
3,0.6429777298654828,0.6857142857142857
4,0.9156483658722468,0.6571428571428571
5,0.7534347806658064,0.34285714285714286
6,0.6483286150864193,0.6571428571428571
7,0.6905202507972718,0.5714285714285714
8,0.9435560079557556,0.6571428571428571
9,0.6441595809800285,0.6571428571428571
10,0.7732348390987941,0.34285714285714286
11,0.7239440168653216,0.34285714285714286
12,1.0030090595994676,0.34285714285714286
13,0.7034953236579895,0.6571428571428571
14,0.6504009408610207,0.6571428571428571
15,0.6415656264339175,0.6571428571428571
16,0.6969908833503723,0.4857142857142857
17,0.7597190371581486,0.4
18,0.7594980325017656,0.34285714285714286
19,0.7002172206129347,0.4857142857142857
20,0.6867880242211478,0.6285714285714286
21,0.6548427777630942,0.6571428571428571
22,0.6877738586493901,0.6571428571428571
23,0.6521354002611978,0.6571428571428571
24,0.6485241489750998,0.6571428571428571
25,0.6496588783604759,0.6571428571428571
26,0.6505268292767661,0.6571428571428571
27,0.651060380254473,0.6571428571428571
28,0.6559816403048379,0.6571428571428571
29,0.6556497965540204,0.6571428571428571
30,0.6568307246480669,0.6571428571428571
31,0.6556033177035195,0.6571428571428571
32,0.6503688301358904,0.6571428571428571
33,0.6521758028439113,0.6571428571428571
34,0.653760371037892,0.6571428571428571
35,0.6504179733140129,0.6571428571428571
36,0.6526010300431933,0.6571428571428571
37,0.6560114026069641,0.6571428571428571
38,0.663035409791129,0.6571428571428571
39,0.6584145137241908,0.6571428571428571
