train_loss,train_precision,train_recall,train_f1,val_loss,val_precision,val_recall,val_f1,best_threshold
0.7994431288753236,0.27872378562466393,0.9974342527261065,0.4356962734659569,0.9121175072072545,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7937942648785455,0.28382120253164556,0.9204618345093009,0.43386243386243384,0.9031030215641868,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7929593913469996,0.2784184514003295,0.9756254008980115,0.4332099117060666,0.9375551769705598,0.40275569687334395,0.9620253164556962,0.5677997758685096,0.32
0.7852741272108895,0.29108183977542645,0.8646568313021168,0.4355411954765751,0.9189764672912049,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7832977268525533,0.29218106995884774,0.8652982681205901,0.43685233160621767,0.9277557163618881,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7877782879131181,0.2799927180047333,0.986529826812059,0.43618831537152586,0.9643985400635908,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7875062965069498,0.2944851357173632,0.876844130853111,0.4408966295758748,0.8957365533257273,0.4049111807732497,0.9810126582278481,0.5732248520710059,0.34
0.7934323694450515,0.2898427539311517,0.8749198203976908,0.43543495610534716,0.9513022609721826,0.3895946763460375,0.8151898734177215,0.5272206303724929,0.3
0.7885147285887173,0.30682951146560317,0.7896087235407312,0.4419314306228684,0.8889861236750384,0.40237966468361275,0.9417721518987342,0.563849943160288,0.34
0.7927266719937325,0.2838671175651482,0.9153303399615138,0.43334345581536593,0.9152101568210913,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7924339740616935,0.278691455130497,1.0,0.4359010205508178,0.9417198445314563,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7894971579313278,0.2820705176294073,0.964720974983964,0.43651139167029457,0.9800994843824364,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7932137948274612,0.27903225806451615,0.9987171263630532,0.43619554559462115,0.9309147625349838,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7894691459195955,0.27906548933039,0.9730596536241181,0.43373838456040026,0.9271524596075139,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7905313319393567,0.2787412837475416,1.0,0.4359619686800895,0.9267725378622804,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7954056703192847,0.2786416443252904,1.0,0.4358400894604417,0.9123358058558364,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7886388949411256,0.2795042213041135,0.9980756895445798,0.43671063710356434,0.9689489032507871,0.3853658536585366,1.0,0.5563380281690141,0.3
