train_loss,train_precision,train_recall,train_f1,val_loss,val_precision,val_recall,val_f1,best_threshold
0.8004240126694951,0.2799409485144861,0.9730596536241181,0.43479507022069364,0.903270244366464,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7988276241081101,0.27838565022421524,0.9955099422706863,0.43509952340902713,0.9034298445000258,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7988589155673981,0.2786416443252904,1.0,0.4358400894604417,0.8989839788076942,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7982775978956904,0.2791114295951272,0.9993585631815266,0.4363534518974933,0.9127467184215204,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7980758813023567,0.2786416443252904,1.0,0.4358400894604417,0.9128830414337871,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7980692057524409,0.2786416443252904,1.0,0.4358400894604417,0.8915203969766193,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7984016796520778,0.2786416443252904,1.0,0.4358400894604417,0.9078405912284258,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7989813499791282,0.2787412837475416,1.0,0.4359619686800895,0.9068584119763355,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7982279440334865,0.2785126921701823,0.9993585631815266,0.4356214175870264,0.8917789753772869,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7990495127013751,0.2786416443252904,1.0,0.4358400894604417,0.9081856754503361,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7967682557020869,0.2786416443252904,1.0,0.4358400894604417,0.8966087798664079,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7990092086791992,0.2786416443252904,1.0,0.4358400894604417,0.9160100748102953,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7984047995294843,0.278691455130497,1.0,0.4359010205508178,0.8995016161569825,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7982456216216087,0.2786416443252904,1.0,0.4358400894604417,0.9160003223771715,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7977769341213362,0.2786416443252904,1.0,0.4358400894604417,0.9144640174125419,0.3853658536585366,1.0,0.5563380281690141,0.3
0.7973660479273115,0.2786416443252904,1.0,0.4358400894604417,0.9128552768017067,0.3853658536585366,1.0,0.5563380281690141,0.3
