,loss,accuracy
0,0.648151478597096,0.6571428571428571
1,0.6435761494295937,0.6571428571428571
2,0.6514460291181292,0.6571428571428571
3,0.6531029003007072,0.6571428571428571
4,0.6522830409663064,0.6571428571428571
5,0.654994341305324,0.6571428571428571
6,0.6530765661171505,0.6571428571428571
7,0.6507684460708073,0.6571428571428571
8,0.6491587715489524,0.6571428571428571
9,0.6507208951881953,0.6571428571428571
10,0.6507041241441455,0.6571428571428571
11,0.650055193901062,0.6571428571428571
12,0.6517766782215664,0.6571428571428571
13,0.6535917801516397,0.6571428571428571
14,0.6497084200382233,0.6571428571428571
15,0.6514863065310887,0.6571428571428571
16,0.6524029152733939,0.6571428571428571
17,0.6577897242137364,0.6571428571428571
18,0.6614279670374734,0.6571428571428571
19,0.6529943287372589,0.6571428571428571
20,0.6666825618062701,0.6571428571428571
21,0.671378402199064,0.6571428571428571
22,0.6553924019847598,0.6571428571428571
23,0.6849515738231795,0.6571428571428571
24,0.6331477871962956,0.6571428571428571
25,0.6471547148057393,0.6571428571428571
26,0.6933644141469683,0.6571428571428571
27,0.7245081345949854,0.6571428571428571
28,0.677267498522997,0.6285714285714286
29,0.8762296293596071,0.6571428571428571
30,0.8524890178016253,0.6285714285714286
31,0.948277369104991,0.6571428571428571
32,1.1754931193352345,0.6571428571428571
33,1.1475377743889112,0.6857142857142857
34,1.164488803410703,0.6
35,1.3209195026508367,0.5714285714285714
36,1.4588065986385377,0.6285714285714286
37,1.5231736864761583,0.6
38,1.4980578441055383,0.6571428571428571
39,1.6590828573192733,0.6
